city_development_index,gender,relevent_experience,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.92,Female,No relevent experience,Masters,Humanities,4,50-99,Funded Startup,1,96,notmove
0.878,Male,Has relevent experience,Masters,STEM,17,100-500,Pvt Ltd,2,218,notmove
0.939,Male,No relevent experience,Phd,STEM,>20,100-500,Public Sector,>4,46,notmove
0.92,Male,Has relevent experience,Masters,STEM,20,10000+,Pvt Ltd,>4,76,notmove
0.754,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,37,notmove
0.579,Male,No relevent experience,Graduate,STEM,2,100-500,Pvt Ltd,1,16,move
0.897,Male,Has relevent experience,Masters,STEM,6,100-500,NGO,1,34,move
0.92,Male,Has relevent experience,Graduate,Other,>20,500-999,Pvt Ltd,>4,30,move
0.92,Male,Has relevent experience,Graduate,STEM,8,50-99,NGO,2,20,notmove
0.624,Male,No relevent experience,Masters,STEM,3,<10,Early Stage Startup,3,44,notmove
0.92,Male,Has relevent experience,Graduate,Humanities,5,10000+,Pvt Ltd,4,25,notmove
0.92,Male,Has relevent experience,Graduate,STEM,13,100-500,Pvt Ltd,1,53,notmove
0.92,Male,Has relevent experience,Graduate,STEM,10,10000+,Pvt Ltd,2,58,notmove
0.624,Female,No relevent experience,Graduate,STEM,6,10000+,Public Sector,1,15,move
0.579,Male,Has relevent experience,Graduate,STEM,9,100-500,Pvt Ltd,2,97,move
0.926,Male,Has relevent experience,Masters,STEM,11,500-999,Pvt Ltd,1,74,notmove
0.556,Female,Has relevent experience,Graduate,STEM,10,100-500,Pvt Ltd,1,57,move
0.624,Male,Has relevent experience,Graduate,STEM,10,100-500,Early Stage Startup,never,126,move
0.727,Male,Has relevent experience,Graduate,STEM,12,100-500,Pvt Ltd,4,22,notmove
0.92,Male,Has relevent experience,Graduate,STEM,14,50-99,Pvt Ltd,>4,22,notmove
0.624,Male,Has relevent experience,Graduate,STEM,4,50-99,Pvt Ltd,1,23,move
0.949,Male,Has relevent experience,Graduate,STEM,14,500-999,Public Sector,4,5,notmove
0.91,Male,Has relevent experience,Graduate,STEM,15,10000+,Public Sector,1,7,notmove
0.624,Male,Has relevent experience,Graduate,STEM,5,500-999,Pvt Ltd,1,24,move
0.92,Male,Has relevent experience,Graduate,STEM,>20,10000+,Pvt Ltd,>4,79,move
0.949,Male,Has relevent experience,Masters,STEM,10,50-99,Pvt Ltd,2,62,notmove
0.91,Male,Has relevent experience,Masters,STEM,2,50-99,Funded Startup,1,20,notmove
0.55,Male,Has relevent experience,Graduate,STEM,7,100-500,Pvt Ltd,2,117,move
0.682,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,2,76,notmove
0.903,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,86,notmove
0.91,Male,Has relevent experience,Masters,Humanities,14,10000+,Pvt Ltd,1,158,notmove
0.899,Male,Has relevent experience,Graduate,STEM,>20,100-500,Funded Startup,1,33,notmove
0.843,Male,Has relevent experience,Masters,STEM,13,<10,Pvt Ltd,never,60,notmove
0.939,Male,Has relevent experience,Graduate,STEM,>20,<10,Pvt Ltd,1,11,notmove
0.92,Male,Has relevent experience,Graduate,STEM,13,<10,Funded Startup,1,127,notmove
0.896,Female,Has relevent experience,Graduate,STEM,4,10/49,Pvt Ltd,1,23,notmove
0.624,Male,Has relevent experience,Graduate,STEM,10,1000-4999,Pvt Ltd,2,18,move
0.848,Male,Has relevent experience,Graduate,STEM,4,1000-4999,Pvt Ltd,1,57,move
0.624,Male,No relevent experience,Graduate,STEM,10,100-500,Pvt Ltd,>4,23,move
0.92,Male,Has relevent experience,Graduate,STEM,14,<10,Pvt Ltd,1,68,notmove
0.926,Male,Has relevent experience,Graduate,STEM,19,10/49,Funded Startup,1,12,move
0.899,Male,Has relevent experience,Graduate,STEM,7,<10,Early Stage Startup,1,63,notmove
0.92,Male,Has relevent experience,Masters,STEM,>20,10000+,Pvt Ltd,>4,40,notmove
0.624,Female,No relevent experience,Masters,STEM,5,50-99,Pvt Ltd,never,23,notmove
0.884,Male,Has relevent experience,Graduate,STEM,12,50-99,Funded Startup,>4,2,notmove
