city_development_index,gender,relevent_experience,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.776,Male,No relevent experience,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,notmove
0.767,Male,Has relevent experience,Masters,STEM,>20,50-99,Funded Startup,4,8,notmove
0.762,Male,Has relevent experience,Graduate,STEM,13,<10,Pvt Ltd,>4,18,move
0.92,Male,Has relevent experience,Graduate,STEM,7,50-99,Pvt Ltd,1,46,move
0.92,Male,Has relevent experience,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,notmove
0.913,Male,Has relevent experience,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,notmove
0.926,Male,Has relevent experience,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,notmove
0.843,Male,Has relevent experience,Masters,STEM,11,100-500,Pvt Ltd,1,68,notmove
0.926,Male,Has relevent experience,Masters,STEM,11,100-500,Pvt Ltd,2,50,notmove
0.776,Male,Has relevent experience,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,notmove
0.624,Male,Has relevent experience,Graduate,STEM,18,50-99,Funded Startup,2,68,move
0.92,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,notmove
0.92,Male,Has relevent experience,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,notmove
0.92,Female,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,notmove
0.91,Male,Has relevent experience,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,notmove
0.92,Male,Has relevent experience,Graduate,STEM,10,10/49,Early Stage Startup,2,206,notmove
0.926,Male,Has relevent experience,Phd,STEM,>20,100-500,Pvt Ltd,4,42,move
0.926,Female,Has relevent experience,Masters,STEM,16,1000-4999,Public Sector,2,14,notmove
0.624,Male,Has relevent experience,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,move
0.624,Male,Has relevent experience,Graduate,STEM,5,100-500,Pvt Ltd,never,87,move
0.923,Male,Has relevent experience,Graduate,STEM,11,10/49,Pvt Ltd,1,21,notmove
0.666,Male,Has relevent experience,Graduate,STEM,10,100-500,Pvt Ltd,2,102,notmove
0.794,Male,No relevent experience,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,notmove
0.924,Male,Has relevent experience,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,notmove
0.754,Male,Has relevent experience,Graduate,STEM,2,50-99,Early Stage Startup,2,52,notmove
0.767,Male,Has relevent experience,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,move
0.939,Male,Has relevent experience,Graduate,STEM,6,100-500,Pvt Ltd,3,25,notmove
0.887,Male,Has relevent experience,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,notmove
0.865,Male,Has relevent experience,Graduate,STEM,10,50-99,Pvt Ltd,2,142,move
0.91,Female,Has relevent experience,Masters,Humanities,14,500-999,Public Sector,1,28,notmove
0.827,Male,Has relevent experience,Graduate,STEM,2,10/49,Pvt Ltd,1,29,notmove
0.893,Male,Has relevent experience,Masters,STEM,5,50-99,Pvt Ltd,2,65,notmove
0.92,Male,No relevent experience,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,notmove
0.855,Male,No relevent experience,Graduate,STEM,9,10000+,Pvt Ltd,3,14,notmove
0.92,Female,Has relevent experience,Masters,STEM,2,<10,Early Stage Startup,1,4,notmove
0.92,Male,Has relevent experience,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,notmove
0.92,Male,Has relevent experience,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,notmove
0.884,Male,Has relevent experience,Graduate,STEM,15,10/49,Early Stage Startup,1,86,notmove
0.866,Female,No relevent experience,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,notmove
0.92,Female,No relevent experience,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,move
